country,total_cases,total_deaths
Montenegro,96187.0,1451.0
Malaysia,384688.0,1407.0
Zambia,91189.0,1240.0
Malawi,33989.0,1145.0
Estonia,119218.0,1120.0
Senegal,39975.0,1097.0
Cameroon,64809.0,939.0
Australia,29638.0,910.0
Finland,85077.0,902.0
Mozambique,69523.0,805.0
Luxembourg,65813.0,790.0
Ghana,91928.0,777.0
Jamaica,44502.0,751.0
Norway,109581.0,735.0
Botswana,45855.0,691.0
Somalia,13459.0,689.0
Eswatini,18426.0,671.0
Uzbekistan,87935.0,640.0
Sri Lanka,98722.0,634.0
Namibia,47172.0,616.0
Bahrain,168201.0,614.0
Angola,25051.0,572.0
Mali,13420.0,456.0
Mauritania,18192.0,454.0
Malta,30096.0,411.0
Qatar,199980.0,407.0
Uganda,41529.0,341.0
Rwanda,24262.0,328.0
Belize,12596.0,320.0
Lesotho,10723.0,316.0
Cyprus,59792.0,296.0
Guyana,12234.0,277.0
Cote d'Ivoire,45715.0,277.0
Cape Verde,21500.0,199.0
Bahamas,9868.0,194.0
Suriname,9865.0,191.0
Niger,5143.0,191.0
Nicaragua,6835.0,181.0
Gambia,5820.0,173.0
Trinidad and Tobago,9383.0,157.0
Guinea,21745.0,139.0
Congo,10084.0,139.0
Gabon,22228.0,136.0
Djibouti,10697.0,130.0
Andorra,12942.0,123.0
Togo,12698.0,121.0
Thailand,48113.0,117.0
South Sudan,10504.0,114.0
Equatorial Guinea,7505.0,106.0
Papua New Guinea,10338.0,99.0
San Marino,5045.0,88.0
Sierra Leone,4044.0,79.0
Maldives,27084.0,71.0
Saint Lucia,4455.0,70.0
Mongolia,26692.0,61.0
Cambodia,8193.0,59.0
Liechtenstein,2851.0,57.0
Barbados,3806.0,44.0
Sao Tome and Principe,2292.0,35.0
Vietnam,2824.0,35.0
Antigua and Barbuda,1217.0,31.0
Monaco,2423.0,31.0
Singapore,60904.0,30.0
Iceland,6379.0,29.0
New Zealand,2600.0,26.0
Seychelles,5170.0,26.0
Mauritius,1205.0,16.0
Taiwan,1086.0,11.0
Saint Vincent and the Grenadines,1827.0,10.0
Brunei,223.0,3.0
Timor,1657.0,3.0
Fiji,86.0,2.0
Grenada,159.0,1.0
Bhutan,992.0,1.0
Anguilla,0.0,0.0
Aruba,0.0,0.0
Bermuda,0.0,0.0
Cayman Islands,0.0,0.0
Curacao,0.0,0.0
Dominica,172.0,0.0
Faeroe Islands,0.0,0.0
Falkland Islands,0.0,0.0
Gibraltar,0.0,0.0
Greenland,0.0,0.0
Guernsey,0.0,0.0
Hong Kong,0.0,0.0
Isle of Man,0.0,0.0
Jersey,0.0,0.0
Laos,94.0,0.0
Macao,0.0,0.0
Montserrat,0.0,0.0
Nauru,0.0,0.0
Northern Cyprus,0.0,0.0
Saint Helena,0.0,0.0
Saint Kitts and Nevis,44.0,0.0
Solomon Islands,20.0,0.0
Tonga,0.0,0.0
Turks and Caicos Islands,0.0,0.0
